====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
=====================================================
('min', -98.88052275938443, 156.78476934531653, -40.166079708135726)
('max', -75.63039929341272, 164.02129691617523, -39.69770745958725)
('dlp', -81.80919921035479, 160.06443877377603, -40.166079708135726, 2.7354496930639645)
(0, -85.21038033893232, 27.935901190496754, -17.13466882005403, -14.107872208098675)
(0.000202178955078125, -85.14664969195042, 27.859003492347462, -17.21574416270508, -14.107872208098675)
(0.08939194679260254, -85.14664969195042, 27.859003492347462, -17.21574416270508, -14.077260228768946)
(0.1829216480255127, -85.29772262740029, 27.513997629072055, -17.276721258847537, -14.03848063191248)
(0.24579668045043945, -85.29772262740029, 27.513997629072055, -17.276721258847537, -14.03848063191248)
(0.294677734375, -85.29772262740029, 27.513997629072055, -17.276721258847537, -14.0431151752551)
(0.3389153480529785, -85.29772262740029, 27.513997629072055, -17.276721258847537, -14.0431151752551)
(0.3827536106109619, -85.13500564815232, 27.30364756266304, -18.489407207090228, -14.058900304143897)
(0.42570996284484863, -85.13500564815232, 27.30364756266304, -18.489407207090228, -14.058900304143897)
(0.46935391426086426, -85.13500564815232, 27.30364756266304, -18.489407207090228, -14.096619033301941)
(0.5428831577301025, -85.13500564815232, 27.30364756266304, -18.489407207090228, -14.096619033301941)
(0.6311149597167969, -84.51619602777961, 27.406662696191013, -21.098153379184815, -14.11207394460942)
(0.7345895767211914, -84.51619602777961, 27.406662696191013, -21.098153379184815, -14.131825997244114)
(0.8416991233825684, -83.52535950220967, 27.460432323288018, -24.252535163801625, -14.092902239481615)
(0.8970210552215576, -83.52535950220967, 27.460432323288018, -24.252535163801625, -14.10500980923928)
(0.9889676570892334, -81.8852905975237, 27.419705316364926, -27.734680722786276, -14.080782340368714)
(1.0823438167572021, -81.8852905975237, 27.419705316364926, -27.734680722786276, -14.097600578251589)
(1.1480660438537598, -81.8852905975237, 27.419705316364926, -27.734680722786276, -14.097600578251589)
(1.1973257064819336, -79.85761164623955, 27.66028018086606, -31.23495111637784, -14.088641298382289)
(1.242008924484253, -79.85761164623955, 27.66028018086606, -31.23495111637784, -14.088641298382289)
(1.2852373123168945, -79.85761164623955, 27.66028018086606, -31.23495111637784, -14.088641298382289)
(1.3286311626434326, -79.85761164623955, 27.66028018086606, -31.23495111637784, -14.104533578209344)
(1.371934175491333, -79.85761164623955, 27.66028018086606, -31.23495111637784, -14.104533578209344)
(1.4448597431182861, -77.16767030290137, 28.002102548269683, -33.85537832965859, -14.111554479505433)
(1.5325090885162354, -77.16767030290137, 28.002102548269683, -33.85537832965859, -14.154957350546429)
(1.6062726974487305, -74.70534934244445, 28.110108773479404, -35.80905054322465, -14.149885966537733)
(1.6951100826263428, -74.70534934244445, 28.110108773479404, -35.80905054322465, -14.149885966537733)
(1.8006277084350586, -72.19173133551509, 28.463989241094563, -37.82386947193677, -14.222027734553672)
(1.8972539901733398, -72.19173133551509, 28.463989241094563, -37.82386947193677, -14.222027734553672)
(1.9612782001495361, -72.19173133551509, 28.463989241094563, -37.82386947193677, -14.255772582371748)
(2.010333776473999, -70.01449992450459, 28.895238925038793, -39.810137813874796, -14.250858647467922)
(2.0541694164276123, -70.01449992450459, 28.895238925038793, -39.810137813874796, -14.285066766314026)
