====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
=====================================================
('min', -144.04708389613097, 106.09787012767474, -92.59435223560055)
('max', -109.37542614796598, 111.21332848656316, -90.63455375055989)
('dlp', -128.16548096535593, 107.65700837929528, -91.22619102906273, 9.316594802308007)
(0, -120.54042876632818, -52.668570351960525, -66.95616587023457, 0.6044374758328539)
(0.000213623046875, -120.54042876632818, -52.668570351960525, -66.95616587023457, 0.6044374758328539)
(0.06691932678222656, -120.54042876632818, -52.668570351960525, -66.95616587023457, 0.6044374758328539)
(0.0929861068725586, -120.36322963363833, -53.144125246281924, -67.20994289634444, 0.297235187569626)
(0.11614322662353516, -120.36322963363833, -53.144125246281924, -67.20994289634444, 0.297235187569626)
(0.15603852272033691, -120.36322963363833, -53.144125246281924, -67.20994289634444, 0.297235187569626)
(0.21722030639648438, -120.36322963363833, -53.144125246281924, -67.20994289634444, 0.044122601723479093)
(0.2643132209777832, -120.36322963363833, -53.144125246281924, -67.20994289634444, 0.044122601723479093)
(0.3145449161529541, -120.313460392058, -53.14041416746431, -67.6934256632611, -0.29609520217758245)
(0.33649301528930664, -120.313460392058, -53.14041416746431, -67.6934256632611, -0.29609520217758245)
(0.363755464553833, -120.313460392058, -53.14041416746431, -67.6934256632611, -0.29609520217758245)
(0.39135169982910156, -120.313460392058, -53.14041416746431, -67.6934256632611, -0.7126342256514377)
(0.4627687931060791, -120.313460392058, -53.14041416746431, -67.6934256632611, -0.7126342256514377)
(0.49730610847473145, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.1972652162533506)
(0.5711705684661865, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.1972652162533506)
(0.6074678897857666, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.7039568909645861)
(0.6424522399902344, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.7039568909645861)
(0.6609344482421875, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.7039568909645861)
(0.6892881393432617, -121.81868178677009, -52.84642194372532, -69.24927320819181, -1.7039568909645861)
(0.7068111896514893, -124.07378398706581, -53.30963060873346, -71.92525356639891, -2.208875476473275)
(0.7532703876495361, -124.07378398706581, -53.30963060873346, -71.92525356639891, -2.208875476473275)
(0.7828624248504639, -124.07378398706581, -53.30963060873346, -71.92525356639891, -2.208875476473275)
(0.8184280395507812, -124.07378398706581, -53.30963060873346, -71.92525356639891, -2.7622766649966994)
(0.866377592086792, -124.07378398706581, -53.30963060873346, -71.92525356639891, -2.7622766649966994)
(0.9209539890289307, -127.93177800990217, -54.02349043335671, -75.08000774844224, -3.3350675197685256)
(0.9360833168029785, -127.93177800990217, -54.02349043335671, -75.08000774844224, -3.3350675197685256)
(0.9605152606964111, -127.93177800990217, -54.02349043335671, -75.08000774844224, -3.3350675197685256)
(1.1280381679534912, -133.2830744421996, -54.824203495656924, -77.73343869978709, -4.194758686280613)
(1.1656014919281006, -133.2830744421996, -54.824203495656924, -77.73343869978709, -4.194758686280613)
(1.3351099491119385, -139.01968295764112, -55.973670922381395, -80.50988888983349, -4.1716588875256155)
(1.368973970413208, -139.01968295764112, -55.973670922381395, -80.50988888983349, -4.1716588875256155)
(1.3991665840148926, -139.01968295764112, -55.973670922381395, -80.50988888983349, -4.1716588875256155)
