====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
=====================================================
('min', 198.3325095450432, 100.1406139391475, -143.24716128191443)
('max', 240.55085512935338, 102.16271326862528, -141.10185898622962)
('dlp', 218.88832212095218, 100.92698590061107, -141.1283441997566, -13.69551651215463)
(0, 222.67463883233785, -82.14207217089199, -120.94514597734901, -10.64470811677683)
(0.00032401084899902344, 222.67463883233785, -82.14207217089199, -120.94514597734901, -10.64470811677683)
(0.06681942939758301, 222.67463883233785, -82.14207217089199, -120.94514597734901, -10.624557642892661)
(0.20836472511291504, 222.42538553765633, -81.67966285430938, -121.14177095771602, -10.654392942144169)
(0.3077859878540039, 222.42538553765633, -81.67966285430938, -121.14177095771602, -10.671062327116493)
(0.36521387100219727, 222.03881524515737, -81.11812888838872, -121.53214222788239, -10.670505642066146)
(0.4116702079772949, 222.03881524515737, -81.11812888838872, -121.53214222788239, -10.670505642066146)
(0.4576601982116699, 222.03881524515737, -81.11812888838872, -121.53214222788239, -10.645009838551196)
(0.5533349514007568, 222.03881524515737, -81.11812888838872, -121.53214222788239, -10.645009838551196)
(0.6479916572570801, 220.69009254266874, -80.87930660581999, -122.8770534833801, -10.62207641176228)
(0.7216284275054932, 218.46558725411012, -80.63239191083181, -125.38950509135007, -10.558071074991604)
(0.8219223022460938, 218.46558725411012, -80.63239191083181, -125.38950509135007, -10.536342719596668)
(0.9137828350067139, 218.46558725411012, -80.63239191083181, -125.38950509135007, -10.536342719596668)
(0.9893202781677246, 215.0057547804743, -80.26827562672905, -128.66879067675634, -10.539694956507415)
(1.106943130493164, 215.0057547804743, -80.26827562672905, -128.66879067675634, -10.549753963344685)
(1.2429702281951904, 210.9221628240057, -80.1778260580038, -132.28778054667933, -10.558553214693905)
(1.3692636489868164, 206.5367601954724, -80.39189382517377, -135.47003116482443, -10.552411767640868)
(1.4212815761566162, 206.5367601954724, -80.39189382517377, -135.47003116482443, -10.552411767640868)
(1.4680099487304688, 206.5367601954724, -80.39189382517377, -135.47003116482443, -10.50511221962579)
(1.550879716873169, 202.36749624045575, -80.62841099508472, -137.94334408053123, -10.474978291812036)
(1.6423976421356201, 202.36749624045575, -80.62841099508472, -137.94334408053123, -10.44304763852178)
(1.719679355621338, 202.36749624045575, -80.62841099508472, -137.94334408053123, -10.44304763852178)
(1.7873151302337646, 198.45462006091793, -80.71888497685045, -140.33415330381354, -10.462624292121175)
(1.8518853187561035, 198.45462006091793, -80.71888497685045, -140.33415330381354, -10.488236719603819)
(1.9183192253112793, 198.45462006091793, -80.71888497685045, -140.33415330381354, -10.488236719603819)
(1.9851219654083252, 195.4761835871495, -80.75585237527892, -141.74306706211294, -10.5593836332465)
(2.052084445953369, 195.4761835871495, -80.75585237527892, -141.74306706211294, -10.5864216159674)
(2.118298053741455, 195.4761835871495, -80.75585237527892, -141.74306706211294, -10.5864216159674)
(2.185171127319336, 192.51870353614862, -80.32839502214829, -143.03851755490436, -10.624108466991517)
(2.251349925994873, 192.51870353614862, -80.32839502214829, -143.03851755490436, -10.642345623024635)
(2.2790238857269287, 192.51870353614862, -80.32839502214829, -143.03851755490436, -10.642345623024635)
(2.293304443359375, 192.51870353614862, -80.32839502214829, -143.03851755490436, -10.642345623024635)
