====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
=====================================================
('min', -124.25727738486566, 92.77575335170297, -2.981206539031728)
('max', -82.82878308379004, 94.84246029346045, -0.6442082146148671)
('dlp', -101.96578740789595, 93.05131427727062, -0.6442082146148671, 15.517949523330127)
(0, -100.82707501422412, -90.50752397360611, 20.899554275538446, 14.156080179180499)
(0.00010776519775390625, -100.82707501422412, -90.50752397360611, 20.899554275538446, 14.156080179180499)
(0.07985448837280273, -100.68371804223956, -90.69038114955089, 20.444163565972804, 14.113814868401654)
(0.170943021774292, -100.68371804223956, -90.69038114955089, 20.444163565972804, 14.069509824418095)
(0.239027738571167, -100.42455507570894, -90.72980483888932, 20.675662802566922, 14.029378891850982)
(0.2948486804962158, -100.42455507570894, -90.72980483888932, 20.675662802566922, 14.029378891850982)
(0.3852105140686035, -100.42455507570894, -90.72980483888932, 20.675662802566922, 14.00157182227696)
(0.49009084701538086, -99.91466974607424, -90.42062881737681, 20.10953723271207, 13.991135079809986)
(0.6988542079925537, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.98579539652022)
(0.7273664474487305, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.98579539652022)
(0.7500474452972412, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.995902652642938)
(0.7698855400085449, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.995902652642938)
(0.7855005264282227, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.995902652642938)
(0.8149223327636719, -99.3872084923469, -90.3132155477437, 18.58907021791572, 13.995902652642938)
(0.8447914123535156, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.989941142573926)
(0.8588616847991943, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.989941142573926)
(0.8832597732543945, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.989941142573926)
(0.9066009521484375, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.989941142573926)
(0.9217941761016846, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.989941142573926)
(0.959282398223877, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.994636565474714)
(0.9852404594421387, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.994636565474714)
(1.015040636062622, -98.97178874881715, -90.0541961500291, 16.07910988255598, 13.994636565474714)
(1.0465245246887207, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.99061016703747)
(1.0816624164581299, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.99061016703747)
(1.1126904487609863, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.99061016703747)
(1.1647448539733887, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.957378808016262)
(1.1793954372406006, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.957378808016262)
(1.2074382305145264, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.957378808016262)
(1.2325708866119385, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.957378808016262)
(1.2465465068817139, -98.46661578153832, -89.38396138259805, 13.071551948825773, 13.957378808016262)
(1.2726335525512695, -97.83308152039552, -88.6057961936345, 9.740885869608636, 13.920342175647932)
(1.3231558799743652, -97.83308152039552, -88.6057961936345, 9.740885869608636, 13.920342175647932)
