====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
======================== FAIL =======================
('min', -222.62190500195908, 103.75159577552702, 125.64913415562594)
('max', -166.1678955159841, 122.89453557477884, 126.71417497204737)
('dlp', -201.51685621432702, 113.46369475399806, 110.16804021697311, 18.16098218960783)
25.432205200195312
(0, -200.27554903836858, -82.48130373838342, 126.7757760581437, 0.0)
(0.03934597969055176, -200.4123008392258, -82.362381489674, 126.63250265864113, -0.06808834865971747)
(0.07928013801574707, -200.4123008392258, -82.362381489674, 126.63250265864113, -0.06808834865971747)
(0.11985468864440918, -200.4123008392258, -82.362381489674, 126.63250265864113, -0.06808834865971747)
(0.15983796119689941, -200.4123008392258, -82.362381489674, 126.63250265864113, -0.07835558396626396)
(0.1995999813079834, -200.4123008392258, -82.362381489674, 126.63250265864113, -0.07835558396626396)
(0.23944640159606934, -200.54700808130818, -82.39977027986448, 126.5829885857188, -0.06094425571103379)
(0.27956128120422363, -200.54700808130818, -82.39977027986448, 126.5829885857188, -0.06094425571103379)
(0.3195061683654785, -200.54700808130818, -82.39977027986448, 126.5829885857188, -0.06094425571103379)
(0.35964393615722656, -200.54700808130818, -82.39977027986448, 126.5829885857188, -0.05321235493182108)
(0.39987874031066895, -200.54700808130818, -82.39977027986448, 126.5829885857188, -0.05321235493182108)
(0.43988895416259766, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.055068867566332)
(0.47974276542663574, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.055068867566332)
(0.519930362701416, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.055068867566332)
(0.5602898597717285, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.07565522286787996)
(0.6001546382904053, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.07565522286787996)
(0.6399960517883301, -200.71491914106122, -82.55100714769807, 125.69400371244174, -0.07565522286787996)
(0.6798110008239746, -200.8260014425403, -82.84840612982815, 123.7258999599806, -0.08046927047330676)
(0.7199447154998779, -200.8260014425403, -82.84840612982815, 123.7258999599806, -0.08046927047330676)
(0.7602260112762451, -200.8260014425403, -82.84840612982815, 123.7258999599806, -0.0998226135079392)
(0.8001730442047119, -200.8260014425403, -82.84840612982815, 123.7258999599806, -0.0998226135079392)
(0.8401412963867188, -200.8260014425403, -82.84840612982815, 123.7258999599806, -0.0998226135079392)
(0.8799371719360352, -200.8318505844321, -82.62749060597878, 121.13439708327566, -0.12039900395192227)
(0.9201700687408447, -200.8318505844321, -82.62749060597878, 121.13439708327566, -0.09636840920188838)
(0.9602479934692383, -200.8318505844321, -82.62749060597878, 121.13439708327566, -0.09636840920188838)
(1.0002505779266357, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.11918671254747437)
(1.040271520614624, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.11918671254747437)
(1.0801494121551514, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.11918671254747437)
(1.1203417778015137, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.1086320648428103)
(1.1606512069702148, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.1086320648428103)
(1.2004294395446777, -200.7441756292223, -82.75236612492671, 118.5232345132283, -0.1086320648428103)
(1.2403733730316162, -200.82276834365106, -82.79667785580224, 116.29862858497071, -0.0982493940277962)
